keyword,normalized_keyword,seed_group,seed_keywords,source,query_date,location,geo_target_id_sanitized,language,network,avg_monthly_searches,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,currency,monthly_searches_json,intent_category,commercial_intent,presential_intent,local_intent,beginner_intent,older_adult_explicit,employment_intent,software_download_risk,informational_risk,relevance_score,recommended_status,exclusion_reason,facts,assumptions,recommendation,notes
curso word excel powerpoint presencial,curso word excel powerpoint presencial,office_presencial,curso word excel powerpoint presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso word excel outlook powerpoint,curso word excel outlook powerpoint,office_presencial,curso word excel outlook powerpoint,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso windows y office,curso windows y office,office_presencial,curso windows y office,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso de herramientas office,curso de herramientas office,office_presencial,curso de herramientas office,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
capacitación office presencial,capacitación office presencial,office_presencial,capacitación office presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso computación presencial,curso computación presencial,computacion_basica_presencial,curso computación presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso computación presencial santiago,curso computación presencial santiago,computacion_basica_presencial,curso computación presencial santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,EXPLICIT,EXPLICIT_SANTIAGO,NOT_EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso computación básica presencial,curso computación básica presencial,computacion_basica_presencial,curso computación básica presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso computación básica santiago,curso computación básica santiago,computacion_basica_presencial,curso computación básica santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,NOT_EXPLICIT,EXPLICIT_SANTIAGO,EXPLICIT,NO,NO,LOW,LOW,80,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de computación presencial,clases de computación presencial,computacion_basica_presencial,clases de computación presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de computación santiago,clases de computación santiago,computacion_basica_presencial,clases de computación santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,NOT_EXPLICIT,EXPLICIT_SANTIAGO,NOT_EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso informática básica presencial,curso informática básica presencial,computacion_basica_presencial,curso informática básica presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso de computación para principiantes,curso de computación para principiantes,computacion_basica_presencial,curso de computación para principiantes,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de computación para principiantes,clases de computación para principiantes,computacion_basica_presencial,clases de computación para principiantes,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
aprender computación presencial,aprender computación presencial,computacion_basica_presencial,aprender computación presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,LOW,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,55,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
aprender computación desde cero,aprender computación desde cero,computacion_basica_presencial,aprender computación desde cero,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,LOW,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
aprender a usar el computador,aprender a usar el computador,computacion_basica_presencial,aprender a usar el computador,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,LOW,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso manejo de computador,curso manejo de computador,computacion_basica_presencial,curso manejo de computador,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso manejo básico del computador,curso manejo básico del computador,computacion_basica_presencial,curso manejo básico del computador,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases para aprender a usar computador,clases para aprender a usar computador,computacion_basica_presencial,clases para aprender a usar computador,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso computador desde cero,curso computador desde cero,computacion_basica_presencial,curso computador desde cero,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso básico de pc,curso básico de pc,computacion_basica_presencial,curso básico de pc,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,50,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso de computación inicial,curso de computación inicial,computacion_basica_presencial,curso de computación inicial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso uso básico computador,curso uso básico computador,computacion_basica_presencial,curso uso básico computador,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso alfabetización digital,curso alfabetización digital,alfabetizacion_digital,curso alfabetización digital,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso alfabetización digital presencial,curso alfabetización digital presencial,alfabetizacion_digital,curso alfabetización digital presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,HIGH,EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
alfabetización digital santiago,alfabetización digital santiago,alfabetizacion_digital,alfabetización digital santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,LOW,NOT_EXPLICIT,EXPLICIT_SANTIAGO,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de alfabetización digital,clases de alfabetización digital,alfabetizacion_digital,clases de alfabetización digital,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso habilidades digitales presencial,curso habilidades digitales presencial,alfabetizacion_digital,curso habilidades digitales presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso competencias digitales básicas,curso competencias digitales básicas,alfabetizacion_digital,curso competencias digitales básicas,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,BEGINNER_GENERAL,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
